,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,OTHER,,,,TOTAL,,,
,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2015,AK,Final,"405,270","2,044,184","282,283",19.83,"481,839","2,763,491","50,640",17.44,"196,314","1,351,529","1,299",14.53,0,0,0,,,,,,"1,083,422","6,159,204","334,222",17.59
2015,AL,Final,"3,731,831","31,908,530","2,182,614",11.7,"2,538,645","23,437,831","362,870",10.83,"2,021,316","33,499,182","7,255",6.03,0,0,0,,,,,,"8,291,793","88,845,543","2,552,739",9.33
2015,AR,Final,"1,794,303","18,273,389","1,356,658",9.82,"1,011,199","12,153,236","187,705",8.32,"998,757","16,038,092","35,867",6.23,49,437,2,11.22,,,,,"3,804,308","46,465,154","1,580,231",8.19
2015,AZ,Final,"4,023,333","33,167,205","2,689,225",12.13,"3,042,894","29,284,431","314,755",10.39,"932,651","14,891,564","7,757",6.26,584,"6,216",1,9.4,,,,,"7,999,461","77,349,416","3,011,739",10.34
2015,CA,Final,"15,187,827","89,386,373","13,380,682",16.99,"18,627,081","118,384,093","1,685,684",15.73,"6,394,328","52,562,210","148,068",12.17,"75,346","837,761",13,8.99,,,,,"40,284,581","261,170,437","15,214,447",15.42
2015,CO,Final,"2,227,990","18,384,936","2,225,723",12.12,"2,016,563","20,408,085","365,562",9.88,"1,129,021","15,258,761","16,228",7.4,"6,477","64,264",1,10.08,,,,,"5,380,050","54,116,046","2,607,514",9.94
2015,CT,Final,"2,699,306","12,892,862","1,468,957",20.94,"2,069,571","12,958,570","152,482",15.97,"444,588","3,432,002","4,458",12.95,"25,399","192,721",3,13.18,,,,,"5,238,864","29,476,155","1,625,899",17.77
2015,DC,Final,"324,309","2,497,559","247,469",12.99,"987,107","8,221,610","25,439",12.01,"20,928","238,232",1,8.78,"30,043","333,832",1,9,,,,,"1,362,386","11,291,233","272,910",12.07
2015,DE,Final,"650,835","4,848,998","413,444",13.42,"432,571","4,219,085","52,786",10.25,"201,235","2,430,122",859,8.28,0,0,0,,,,,,"1,284,641","11,498,205","467,089",11.17
2015,FL,Final,"14,216,590","122,759,472","8,963,967",11.58,"9,106,202","95,847,051","1,183,240",9.5,"1,388,136","16,897,415","19,458",8.22,"8,515","95,460",2,8.92,,,,,"24,719,443","235,599,398","10,166,667",10.49
2015,GA,Final,"6,511,155","56,421,650","4,191,206",11.54,"4,662,637","47,151,316","560,947",9.89,"1,887,035","32,134,396","20,688",5.87,"9,004","170,853",1,5.27,,,,,"13,069,830","135,878,215","4,772,843",9.62
2015,HI,Final,"781,896","2,641,336","428,340",29.6,"854,791","3,174,462","60,631",26.93,"852,083","3,695,554",740,23.06,0,0,0,,,,,,"2,488,769","9,511,352","489,710",26.17
2015,IA,Final,"1,603,951","13,786,328","1,356,598",11.63,"1,076,729","12,071,781","227,540",8.92,"1,255,122","21,289,184","7,643",5.9,0,0,0,,,,,,"3,935,802","47,147,293","1,591,781",8.35
2015,ID,Final,"799,700","8,054,693","701,448",9.93,"488,546","6,263,642","106,452",7.8,"576,477","8,740,479","27,531",6.6,0,0,0,,,,,,"1,864,722","23,058,814","835,431",8.09
2015,IL,Final,"5,581,101","44,645,638","5,172,653",12.5,"4,540,480","50,319,815","603,186",9.02,"2,875,406","43,130,671","5,998",6.67,"35,653","523,846",3,6.81,,,,,"13,032,639","138,619,970","5,781,840",9.4
2015,IN,Final,"3,753,084","32,441,693","2,804,861",11.57,"2,349,168","24,021,689","350,465",9.78,"3,294,957","48,030,120","18,212",6.86,"2,085","21,016",1,9.92,,,,,"9,399,293","104,514,518","3,173,539",8.99
2015,KS,Final,"1,634,552","13,241,682","1,231,825",12.34,"1,553,019","15,380,339","228,403",10.1,"854,187","11,227,106","24,158",7.61,0,0,0,,,,,,"4,041,758","39,849,127","1,484,386",10.14
2015,KY,Final,"2,680,343","26,168,093","1,947,068",10.24,"1,848,262","19,589,209","299,460",9.44,"1,660,850","30,281,328","7,392",5.48,0,0,0,,,,,,"6,189,455","76,038,630","2,253,920",8.14
2015,LA,Final,"2,943,587","31,545,313","2,043,759",9.33,"2,165,878","24,996,178","298,169",8.66,"1,900,895","35,123,169","19,647",5.41,979,"11,829",1,8.28,,,,,"7,011,339","91,676,489","2,361,577",7.65
2015,MA,Final,"4,000,022","20,175,317","2,794,918",19.83,"4,135,789","26,200,307","407,060",15.79,"1,068,927","7,892,165","14,099",13.54,"27,418","353,299",3,7.76,,,,,"9,232,156","54,621,088","3,216,080",16.9
2015,MD,Final,"3,786,876","27,403,336","2,255,557",13.82,"3,295,693","29,959,115","249,180",11,"331,187","3,883,315","8,822",8.53,"44,707","535,953",5,8.34,,,,,"7,458,464","61,781,719","2,513,564",12.07
2015,ME,Final,"727,922","4,662,301","699,241",15.61,"501,148","4,017,822","97,057",12.47,"290,360","3,208,045","2,993",9.05,0,0,0,,,,,,"1,519,430","11,888,168","799,291",12.78
2015,MI,Final,"4,810,815","33,357,876","4,282,857",14.42,"4,057,255","38,440,734","532,857",10.55,"2,154,662","30,677,019","6,040",7.02,491,"4,292",1,11.44,,,,,"11,023,223","102,479,921","4,821,755",10.76
2015,MN,Final,"2,630,742","21,713,970","2,374,674",12.12,"2,207,024","23,388,015","289,040",9.44,"1,506,272","21,453,040","9,811",7.02,"2,300","24,209",1,9.5,,,,,"6,346,338","66,579,234","2,673,527",9.53
2015,MO,Final,"3,799,962","33,911,760","2,734,548",11.21,"2,797,527","30,535,443","373,616",9.16,"1,096,388","17,036,256","10,217",6.44,"1,724","20,622",1,8.36,,,,,"7,695,601","81,504,081","3,118,382",9.44
2015,MS,Final,"2,092,177","18,561,101","1,270,398",11.27,"1,517,771","14,391,682","231,387",10.55,"1,032,686","15,738,746","10,860",6.56,0,0,0,,,,,,"4,642,633","48,691,529","1,512,645",9.53
2015,MT,Final,"525,004","4,825,213","491,421",10.88,"500,513","4,894,095","104,324",10.23,"238,769","4,487,603","9,708",5.32,0,0,0,,,,,,"1,264,287","14,206,911","605,453",8.9
2015,NC,Final,"6,531,847","57,901,557","4,336,694",11.28,"4,210,468","48,236,147","665,193",8.73,"1,804,121","27,701,168","10,286",6.51,684,"8,651",1,7.9,,,,,"12,547,119","133,847,523","5,012,175",9.37
2015,ND,Final,"467,895","4,862,542","371,503",9.62,"554,633","6,278,868","71,211",8.83,"563,700","6,987,538","8,158",8.07,0,0,0,,,,,,"1,586,227","18,128,948","450,872",8.75
2015,NE,Final,"1,010,527","9,532,132","825,942",10.6,"807,429","9,307,834","149,818",8.67,"808,820","10,655,107","60,553",7.59,0,0,0,,,,,,"2,626,776","29,495,073","1,036,313",8.91
2015,NH,Final,"837,549","4,526,948","607,463",18.5,"672,092","4,491,173","105,832",14.96,"252,331","1,981,028","3,277",12.74,0,0,0,,,,,,"1,761,972","10,999,149","716,573",16.02
2015,NJ,Final,"4,607,270","29,142,283","3,489,108",15.81,"4,952,384","38,722,730","512,893",12.79,"778,985","7,320,398","12,190",10.64,"31,193","304,212",6,10.25,,,,,"10,369,832","75,489,623","4,014,197",13.74
2015,NM,Final,"828,169","6,641,724","871,044",12.47,"914,718","8,877,046","142,030",10.3,"479,753","7,574,783","9,347",6.33,0,0,0,,,,,,"2,222,641","23,093,553","1,022,421",9.62
2015,NV,Final,"1,574,103","12,338,538","1,126,219",12.76,"889,432","9,613,997","160,490",9.25,"948,626","14,058,811","3,681",6.75,760,"8,344",1,9.11,,,,,"3,412,922","36,019,690","1,290,391",9.48
2015,NY,Final,"9,456,188","51,012,745","7,079,095",18.54,"11,785,740","77,005,625","1,055,128",15.31,"1,140,573","18,079,200","7,631",6.31,"364,797","2,816,085",7,12.95,,,,,"22,747,297","148,913,655","8,141,860",15.28
2015,OH,Final,"6,590,569","51,492,954","4,892,912",12.8,"4,743,183","47,123,923","620,806",10.07,"3,548,736","50,556,675","19,152",7.02,"3,049","39,672",2,7.69,,,,,"14,885,537","149,213,224","5,532,873",9.98
2015,OK,Final,"2,293,592","22,615,824","1,723,937",10.14,"1,588,067","20,691,105","277,383",7.68,"964,329","18,029,456","18,687",5.35,0,0,0,,,,,,"4,845,987","61,336,385","2,020,007",7.9
2015,OR,Final,"1,948,315","18,269,007","1,686,974",10.66,"1,410,427","16,021,066","229,114",8.8,"773,009","12,949,776","25,242",5.97,"2,205","24,125",2,9.14,,,,,"4,133,956","47,263,974","1,941,331",8.75
2015,PA,Final,"7,423,145","54,418,663","5,304,275",13.64,"4,199,202","43,745,173","690,876",9.6,"3,411,815","47,404,272","23,728",7.2,"60,692","775,920",6,7.82,,,,,"15,094,854","146,344,028","6,018,884",10.31
2015,RI,Final,"604,825","3,135,506","440,190",19.29,"584,484","3,704,812","58,903",15.78,"109,866","798,532","1,852",13.76,"4,795","25,868",1,18.54,,,,,"1,303,970","7,664,718","500,947",17.01
2015,SC,Final,"3,778,451","30,059,188","2,185,966",12.57,"2,239,686","21,927,007","357,722",10.21,"1,774,038","29,342,051","4,290",6.05,0,0,0,,,,,,"7,792,175","81,328,246","2,547,978",9.58
2015,SD,Final,"506,522","4,571,325","388,374",11.08,"434,765","4,748,637","69,869",9.16,"204,932","2,782,017","3,749",7.37,0,0,0,,,,,,"1,146,220","12,101,979","461,993",9.47
2015,TN,Final,"4,291,880","41,667,411","2,783,057",10.3,"3,553,029","34,981,552","476,407",10.16,"1,418,464","22,983,145","1,245",6.17,0,0,0,,,,,,"9,263,373","99,632,108","3,260,709",9.3
2015,TX,Final,"16,838,434","145,651,913","10,317,999",11.56,"11,115,260","136,323,562","1,425,773",8.15,"6,161,020","110,182,265","105,937",5.59,"9,585","179,614",3,5.34,,,,,"34,124,300","392,337,354","11,849,712",8.7
2015,UT,Final,"992,264","9,117,153","1,021,839",10.88,"1,001,542","11,614,593","121,310",8.62,"580,074","9,404,984","9,571",6.17,"5,589","55,620",1,10.05,,,,,"2,579,468","30,192,350","1,152,721",8.54
2015,VA,Final,"5,221,259","45,928,411","3,332,082",11.37,"3,969,545","48,347,037","428,369",8.21,"1,218,736","17,537,165","3,714",6.95,"15,929","196,432",1,8.11,,,,,"10,425,468","112,009,045","3,764,165",9.31
2015,VT,Final,"356,986","2,088,940","312,059",17.09,"292,344","2,010,568","53,610",14.54,"146,022","1,421,601",231,10.27,0,0,0,,,,,,"795,352","5,521,109","365,900",14.41
2015,WA,Final,"3,098,110","34,071,987","2,945,759",9.09,"2,405,629","29,266,512","365,092",8.22,"1,164,912","26,772,299","29,162",4.35,433,"5,288",6,8.18,,,,,"6,669,084","90,116,086","3,340,019",7.4
2015,WI,Final,"2,994,383","21,214,787","2,647,223",14.11,"2,561,808","23,514,103","347,451",10.89,"1,816,081","23,969,851","5,528",7.58,28,191,1,14.66,,,,,"7,372,300","68,698,932","3,000,203",10.73
